0.141: [GC 0.141: [DefNew: 3909K->1K(4928K), 0.0000387 secs] 4083K->175K(15872K), 0.0000503 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.142: [GC 0.142: [DefNew: 3909K->1K(4928K), 0.0000397 secs] 4083K->175K(15872K), 0.0000523 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.142: [GC 0.142: [DefNew: 3909K->1K(4928K), 0.0000373 secs] 4083K->175K(15872K), 0.0000496 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.143: [GC 0.143: [DefNew: 3909K->1K(4928K), 0.0000499 secs] 4083K->175K(15872K), 0.0000681 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.143: [GC 0.143: [DefNew: 3909K->1K(4928K), 0.0000493 secs] 4084K->175K(15872K), 0.0000698 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.144: [GC 0.144: [DefNew: 3909K->1K(4928K), 0.0000479 secs] 4084K->175K(15872K), 0.0000657 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.144: [GC 0.144: [DefNew: 3909K->1K(4928K), 0.0000558 secs] 4084K->175K(15872K), 0.0000749 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.145: [GC 0.145: [DefNew: 3909K->1K(4928K), 0.0000476 secs] 4084K->175K(15872K), 0.0000647 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.145: [GC 0.145: [DefNew: 3909K->1K(4928K), 0.0000469 secs] 4084K->175K(15872K), 0.0000640 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.146: [GC 0.146: [DefNew: 3909K->1K(4928K), 0.0000595 secs] 4084K->176K(15872K), 0.0000742 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.146: [GC 0.146: [DefNew: 3909K->0K(4928K), 0.0000465 secs] 4084K->176K(15872K), 0.0000633 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.147: [GC 0.147: [DefNew: 3909K->0K(4928K), 0.0000414 secs] 4084K->176K(15872K), 0.0000564 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.147: [GC 0.147: [DefNew: 3909K->0K(4928K), 0.0000434 secs] 4084K->176K(15872K), 0.0000592 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.148: [GC 0.148: [DefNew: 3909K->0K(4928K), 0.0000380 secs] 4084K->176K(15872K), 0.0000523 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.148: [GC 0.148: [DefNew: 3909K->0K(4928K), 0.0000356 secs] 4084K->176K(15872K), 0.0000499 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.149: [GC 0.149: [DefNew: 3909K->0K(4928K), 0.0000373 secs] 4084K->176K(15872K), 0.0000513 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.149: [GC 0.149: [DefNew: 3909K->0K(4928K), 0.0000349 secs] 4084K->176K(15872K), 0.0000496 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
